Row,Building,City,Height m,Height ft,Floors,Year,Status
227,35 East Wacker Drive,Chicago,159.41 m,523.01 ft,40 floors,1927,completed
228,One Bangkok O4H4,Bangkok,436.10 m,1430.77 ft,92 floors,2025,foundation work
229,Torre Repsol YPF,Buenos Aires,160.00 m,524.93 ft,36 floors,2008,completed
230,The Evo,Philadelphia,131.10 m,430.12 ft,33 floors,2014,completed
231,One57,New York City,306.35 m,1005.08 ft,75 floors,2014,completed
232,Édifice de la Sunlife,Montreal,122.00 m,400.27 ft,26 floors,1931,completed
233,Ontario Tower,London,105.55 m,346.29 ft,31 floors,2007,completed
234,Tour Sequana,Issy-les-Moulineaux,100.00 m,328.08 ft,24 floors,2010,completed
235,Hennepin County Government Center,Minneapolis,123.23 m,404.29 ft,24 floors,1977,completed
236,1010 Pine Street,Saint Louis,121.66 m,399.15 ft,26 floors,1926,completed
237,Tour Eqho,Courbevoie,130.00 m,426.51 ft,40 floors,1988,completed
238,Avaz Twist Tower,Sarajevo,142.00 m,465.88 ft,36 floors,2009,completed
239,Capital Tower,Berlin,150.00 m,492.13 ft,35 floors,2021,proposed
240,Narodna Banka Slovenska,Bratislava,111.70 m,366.48 ft,33 floors,2002,completed
241,Triumph-Palace,Moscow,264.10 m,866.47 ft,54 floors,2005,completed
242,Business Tower,Nuremberg,135.00 m,442.91 ft,35 floors,2000,completed
243,Henninger-Turm,Frankfurt am Main,135.00 m,442.91 ft,40 floors,2017,completed
244,Three First National Plaza,Chicago,233.65 m,766.55 ft,57 floors,1981,completed
245,Tour T1,Courbevoie,185.00 m,606.96 ft,36 floors,2008,completed
246,Q1 Tower,Gold Coast City,322.50 m,1058.07 ft,80 floors,2005,completed
247,340 on the Park,Chicago,204.90 m,672.26 ft,64 floors,2007,completed
248,One Museum Park,Chicago,221.34 m,726.18 ft,62 floors,2009,completed
249,Eurotheum,Frankfurt am Main,110.00 m,360.89 ft,31 floors,1999,completed
250,Deutsche Bank I,Frankfurt am Main,158.00 m,518.37 ft,40 floors,1984,removed
251,Neguri Gane,Benidorm,148.03 m,485.66 ft,43 floors,2002,completed
252,10 Light Street,Baltimore,155.15 m,509.01 ft,37 floors,1924,completed
253,Barclay-Vesey Building,New York City,151.79 m,498.00 ft,32 floors,1927,completed
254,Book Tower,Detroit,144.78 m,475.01 ft,38 floors,1926,not in use
255,Tour Nuages 2,Nanterre,100.00 m,328.08 ft,39 floors,1977,completed
256,Centro Bursátil,Mexico City,115.20 m,377.95 ft,26 floors,1990,completed
257,Highcliff,Hong Kong,252.30 m,827.76 ft,72 floors,2003,completed
258,Pittsfield Building,Chicago,167.97 m,551.09 ft,38 floors,1927,completed
259,One North LaSalle,Chicago,161.55 m,530.01 ft,48 floors,1930,completed
260,St George Wharf Tower,London,180.60 m,592.52 ft,49 floors,2014,completed
261,One PPG Place,Pittsburgh,193.55 m,635.01 ft,40 floors,1984,completed
262,Vortex Tower,Kuala Lumpur,58 floors,2016,completed
263,Neva Towers 2,Moscow,345.00 m,1131.89 ft,79 floors,2020,topped out
264,Le Nouvel Tower 1,Kuala Lumpur,202.00 m,662.73 ft,49 floors,2016,completed
265,Park Row Building,New York City,119.18 m,391.00 ft,30 floors,1899,completed
266,Pirelli Building,Milan,127.10 m,416.99 ft,32 floors,1958,completed
267,The Millenium Hilton,New York City,179.23 m,588.01 ft,59 floors,1992,completed
268,Aldar Headquarters,Abu Dhabi,110.03 m,361.00 ft,23 floors,2010,completed
269,Water Tower Place,Chicago,261.88 m,859.18 ft,74 floors,1976,completed
270,Petronas Tower 2,Kuala Lumpur,451.90 m,1482.62 ft,88 floors,1998,completed
271,Edificio Kronos,Benidorm,140.00 m,459.32 ft,41 floors,2008,completed
