Row,Building,City,Height m,Height ft,Floors,Year,Status
336,Bernstraße 25,Ostermundigen,100.50 m,329.72 ft,33 floors,,approved
337,Tour Prado,Marseille,130.00 m,426.51 ft,34 floors,,canceled
338,Trinity Court Building,New York City,114.00 m,374.01 ft,25 floors,1927,destroyed
339,Oxley Towers,Kuala Lumpur,341.20 m,1119.42 ft,79 floors,2021,foundation work
340,Roche-Turm,Basel,178.00 m,583.99 ft,41 floors,2015,completed
341,Waldorf Astoria + Magnolias Ratchaprasong,Bangkok,242.00 m,793.96 ft,60 floors,2016,completed
342,Rainier Tower,Seattle,156.67 m,514.01 ft,31 floors,1977,completed
343,29 Broadway,New York City,104.85 m,344.00 ft,30 floors,1931,completed
344,Fifteen Fifty,San Francisco,126.80 m,416.00 ft,39 floors,2020,completed
345,Dubai Towers Doha,Doha,436.50 m,1432.09 ft,91 floors,,interrupted
346,InterContinental Warszawa,Warsaw,163.51 m,536.45 ft,45 floors,2003,completed
347,Main Place Tower,Buffalo,106.68 m,350.00 ft,26 floors,1969,completed
348,Riverside Church,New York City,119.48 m,391.99 ft,19 floors,1930,completed
349,80 South Street,New York City,310.30 m,1018.04 ft,74 floors,,proposed
350,CNA Plaza,Chicago,183.19 m,601.01 ft,44 floors,1972,completed
351,Jade Signature,Sunny Isles Beach,193.90 m,636.15 ft,55 floors,2017,completed
352,Hotel Sherry-Netherland,New York City,170.69 m,560.01 ft,40 floors,1927,completed
353,Leatop Plaza,Guangzhou,302.70 m,993.11 ft,64 floors,2012,completed
354,Hotel Pierre,New York City,160.02 m,525.01 ft,41 floors,1930,completed
355,Metropolitan Life Tower,New York City,213.36 m,700.01 ft,50 floors,1909,completed
356,Hermitage Plaza I,Courbevoie,323.00 m,1059.71 ft,91 floors,2023,proposed
357,The Drake,Philadelphia,114.30 m,375.00 ft,33 floors,1929,completed
358,The Eldorado,New York City,105.46 m,346.00 ft,28 floors,1931,completed
359,135 South LaSalle,Chicago,163.07 m,535.01 ft,45 floors,1934,completed
360,Shell Building,San Francisco,115.22 m,378.01 ft,29 floors,1929,completed
361,Orbi Tower,Vienna,102.50 m,336.29 ft,26 floors,2017,completed
362,Xiamen Cross Strait Financial Centre,Xiamen,343.88 m,1128.22 ft,68 floors,,interrupted
363,Diamond Tower,Jeddah,432.00 m,1417.32 ft,93 floors,2020,foundation work
364,Travelers Tower,Hartford,160.63 m,527.01 ft,24 floors,1907,completed
365,The Ellipse,Jersey City,140.21 m,460.01 ft,45 floors,2017,completed
366,NEMA Chicago,Chicago,270.41 m,887.17 ft,78 floors,2019,completed
367,500 Fifth Avenue,New York City,212.45 m,697.01 ft,60 floors,1931,completed
368,Nebraska State Capitol,Lincoln,121.21 m,397.67 ft,22 floors,1932,completed
369,Telus Sky,Calgary,222.30 m,729.33 ft,63 floors,2020,completed
370,Eighth Avenue Place East Tower,Calgary,212.28 m,696.46 ft,51 floors,2011,completed
371,425 Lexington Avenue,New York City,125.27 m,411.00 ft,31 floors,1987,completed
372,Kudrinskaya Ploshchad 1,Moscow,160.00 m,524.94 ft,22 floors,1954,completed
373,Riverplace Tower,Jacksonville,131.68 m,432.00 ft,28 floors,1967,completed
374,Louisiana State Capitol,Baton Rouge,140.21 m,460.01 ft,34 floors,1932,completed
375,Liberty Tower,New York City,117.35 m,385.00 ft,33 floors,1910,completed
376,Park Avenue Tower,New York City,171.00 m,561.01 ft,36 floors,1987,completed
377,The Towne House,New York City,111.25 m,365.00 ft,27 floors,1930,completed
378,Shamrock Tower,Houston,116.74 m,383.01 ft,32 floors,,canceled
379,Walker Tower,New York City,119.60 m,392.39 ft,19 floors,1930,completed
380,Lo Storto,Milan,185.00 m,606.96 ft,44 floors,2017,completed
381,The Oracle (Beach Tower),Gold Coast City,165.00 m,541.34 ft,50 floors,2010,completed
382,Burj Al Alam,Dubai,510.00 m,1673.23 ft,113 floors,,canceled
383,20 Exchange Place,New York City,225.86 m,741.01 ft,57 floors,1931,completed
384,707 Fifth,Calgary,124.50 m,408.46 ft,27 floors,2017,completed
385,Chengdu Greenland Tower,Chengdu,468.00 m,1535.43 ft,110 floors,2021,frame assembly
386,New York Life Building,New York City,187.50 m,615.16 ft,40 floors,1928,completed
387,FOUR Frankfurt - Tower 2,Frankfurt am Main,178.00 m,583.99 ft,49 floors,2023,foundation work
388,The Pacifica,Auckland,178.00 m,583.99 ft,57 floors,2020,frame assembly
389,The Pinnacle,London,287.90 m,944.55 ft,64 floors,,interrupted
390,Gladwin Tower,London,126.00 m,413.39 ft,38 floors,2018,completed
391,Campanile,Frankfurt am Main,264.00 m,866.14 ft,,,canceled
392,9 Dekalb Avenue,New York City,324.90 m,1065.94 ft,73 floors,2022,frame assembly
393,Tokyo Torch,Tokyo,390.00 m,1279.53 ft,63 floors,,approved
394,The Spiral,New York City,314.20 m,1030.84 ft,65 floors,2021,frame assembly
395,Metropolitan Life North Building,New York City,137.47 m,451.00 ft,30 floors,1933,completed
396,Tokyo Metropolitan Government Building,Tokyo,243.39 m,798.51 ft,48 floors,1991,completed
397,Rand Building,Buffalo,119.18 m,391.00 ft,29 floors,1929,completed
398,Eighth Avenue Place West Tower,Calgary,166.05 m,544.78 ft,41 floors,2014,completed
399,UBS Tower,Chicago,198.58 m,651.51 ft,50 floors,2001,completed
400,The Oliver Cromwell,New York City,102.11 m,335.00 ft,30 floors,1927,completed
401,Chicago Hilton & Towers,Chicago,103.63 m,340.00 ft,29 floors,1927,completed
402,Seestern-Turm,Düsseldorf,111.00 m,364.17 ft,35 floors,,proposed
403,Exhibit on Superior,Chicago,108.81 m,357.00 ft,34 floors,2017,completed
404,Bocom Financial Towers,Shanghai,230.35 m,755.74 ft,52 floors,2002,completed
405,AMA Building,Chicago,130.00 m,426.51 ft,30 floors,1990,completed
406,Custom House Tower,Boston,151.18 m,496.01 ft,32 floors,1849,completed
407,La Llum,Valencia,500.00 m,1640.42 ft,85 floors,,canceled
408,Ritz-Carlton Central Park,New York City,113.08 m,371.00 ft,33 floors,1930,completed
409,Roosevelt University Wabash Tower,Chicago,143.00 m,469.17 ft,32 floors,2012,completed
410,Tencent Seafront Towers,Shenzhen,245.80 m,806.43 ft,50 floors,2017,completed
411,Luxor Pyramid,Las Vegas,106.68 m,350.00 ft,30 floors,1993,completed
412,111 South Wacker,Chicago,207.64 m,681.22 ft,51 floors,2005,completed
413,1 Scollard,Toronto,229.00 m,751.31 ft,59 floors,,proposed
414,Britam Tower,Nairobi,200.10 m,656.50 ft,31 floors,2017,completed
415,Planet Godrej,Mumbai,181.00 m,593.83 ft,51 floors,2009,completed
416,Humana Building,Louisville,127.10 m,417.00 ft,27 floors,1985,completed
417,Fuji Television Head Office Building,Tokyo,123.45 m,405.02 ft,25 floors,1996,completed
418,US Bank Center,Milwaukee,183.19 m,601.01 ft,42 floors,1973,completed
419,Bank of America Tower,Jacksonville,188.06 m,616.99 ft,43 floors,1990,completed
420,Bayer-Hochhaus,Leverkusen,122.12 m,400.66 ft,32 floors,1963,destroyed
421,Aykon London One A,London,169.75 m,556.92 ft,50 floors,,frame assembly
422,200 Clarendon,Boston,240.79 m,789.99 ft,60 floors,1976,completed
423,Føniks,Sandnes,115.00 m,377.30 ft,24 floors,2012,canceled
424,McGraw-Hill Building,New York City,147.83 m,485.01 ft,33 floors,1931,completed
425,VietinBank Business Center Office Tower,Hanoi,363.10 m,1191.27 ft,68 floors,2021,frame assembly
426,Corning Glass Works Building,New York City,108.82 m,357.00 ft,28 floors,1958,completed
427,Marina City II,Chicago,171.40 m,562.34 ft,61 floors,1964,completed
428,Klovski Descent 7A,Kyiv,162.60 m,533.46 ft,47 floors,2011,completed
429,Tartu mnt 15,Tallinn,120.00 m,393.70 ft,38 floors,,proposed
430,One Vanderbilt Place,New York City,427.00 m,1400.92 ft,58 floors,2021,topped out
431,Tower 185,Frankfurt am Main,200.00 m,656.17 ft,50 floors,2011,completed
432,WestendGate,Frankfurt am Main,159.30 m,522.64 ft,47 floors,2012,completed
433,Tour de l'Europe,Mulhouse,100.00 m,328.08 ft,36 floors,1972,completed
434,Dollar Bay,London,109.00 m,357.61 ft,31 floors,2017,completed
435,Rose Tower,Dubai,333.02 m,1092.58 ft,71 floors,2007,completed
436,Torun Tower,Istanbul,153.00 m,501.97 ft,35 floors,2014,completed
437,KölnTurm,Cologne,148.10 m,485.89 ft,43 floors,2001,completed
438,Radisson SAS Hotel Hamburg,Hamburg,108.00 m,354.33 ft,32 floors,1973,completed
439,Leonardo Royal Hotel Frankfurt,Frankfurt am Main,100.00 m,328.08 ft,28 floors,1972,completed
440,Vipod Residences,Kuala Lumpur,42 floors,,completed
441,City Tower,Offenbach am Main,120.00 m,393.70 ft,32 floors,2003,completed
442,Ringturm,Cologne,109.00 m,357.61 ft,26 floors,1973,completed
443,Torre de Cristal,Madrid,249.00 m,816.93 ft,45 floors,2008,completed
444,Le 1000 de la Gauchetière,Montreal,205.00 m,672.57 ft,51 floors,1992,completed
445,EQT Plaza,Pittsburgh,131.07 m,430.01 ft,32 floors,1987,completed
446,Millennium Tower,Rotterdam,149.10 m,489.17 ft,35 floors,2000,completed
447,Swedbank central building,Riga,120.80 m,396.33 ft,27 floors,2004,completed
448,Eight O Five,Chicago,107.59 m,353.00 ft,33 floors,2015,completed
449,Wells Fargo Center,Minneapolis,236.32 m,775.34 ft,56 floors,1989,completed
450,Intesa Sanpaolo,Turin,166.20 m,545.28 ft,39 floors,2015,completed
451,US Bank Tower,Los Angeles,310.29 m,1018.01 ft,73 floors,1989,completed
452,1 Place Ville-Marie,Montreal,188.00 m,616.80 ft,43 floors,1962,completed
453,Achmea-Toren,Leeuwarden,114.60 m,375.98 ft,28 floors,2002,completed
454,Tour Gan,Courbevoie,180.00 m,590.55 ft,49 floors,1974,completed
455,Kodak Tower,Rochester,109.73 m,360.00 ft,19 floors,1914,completed
456,100 United Nations Plaza Tower,New York City,169.78 m,557.02 ft,52 floors,1986,completed
457,Cosmopolitan Casino Beach Club Tower,Las Vegas,183.95 m,603.51 ft,51 floors,2010,completed
458,Salesforce Tower,San Francisco,326.10 m,1069.88 ft,61 floors,2018,completed
459,155 North Wacker,Chicago,194.57 m,638.34 ft,45 floors,2009,completed
460,North Harbor Tower,Chicago,169.47 m,556.01 ft,55 floors,1988,completed
461,Williams Tower,Houston,274.63 m,901.01 ft,64 floors,1983,completed
462,Westin Book-Cadillac Detroit,Detroit,106.44 m,349.21 ft,29 floors,1924,completed
463,Radisson Blu Hotel & Residence,Cape Town,104.09 m,341.50 ft,26 floors,1993,completed
464,Diamantone,Milan,140.00 m,459.32 ft,31 floors,2012,completed
465,Lotte World Tower,Seoul,554.47 m,1819.13 ft,123 floors,2017,completed
466,Novotel London Canary Wharf,London,127.00 m,416.67 ft,39 floors,2016,completed
467,Cour de Justice Tower II,Luxembourg,103.00 m,337.93 ft,27 floors,2008,completed
468,One Barangaroo,Sydney,271.30 m,890.09 ft,75 floors,2021,frame assembly
469,Tour du Midi / Zuidertoren,Brussels,148.00 m,485.56 ft,38 floors,1967,completed
470,10 Holloway Circus,Birmingham,130.00 m,426.51 ft,39 floors,2006,completed
471,Yokohama Landmark Tower,Yokohama,296.33 m,972.21 ft,73 floors,1993,completed
472,Abu Dhabi Investment Authority Tower,Abu Dhabi,185.00 m,606.96 ft,40 floors,2006,completed
473,Cour de Justice Tower I,Luxembourg,103.00 m,337.93 ft,27 floors,2008,completed
474,The Imperium,Pasig,240.00 m,787.40 ft,63 floors,2020,topped out
475,Hotel Arts Barcelona,Barcelona,154.00 m,505.25 ft,44 floors,1992,completed
476,Torre Espacio,Madrid,224.15 m,735.40 ft,56 floors,2007,completed
477,Banco de Bilbao,Madrid,108.39 m,355.61 ft,31 floors,1981,completed
478,Torre Unipol,Bologna,127.00 m,416.67 ft,33 floors,2012,completed
479,Edificio España,Madrid,117.00 m,383.86 ft,26 floors,1953,under renovation
480,W.R. Grace Building,New York City,192.03 m,630.02 ft,50 floors,1974,completed
481,Pearl Building,Bangkok,149.00 m,488.85 ft,25 floors,2016,completed
482,The Leadenhall Building,London,224.50 m,736.55 ft,50 floors,2014,completed
483,Federal Reserve Bank Building,Boston,187.18 m,614.11 ft,32 floors,1977,completed
484,Saladaeng One,Bangkok,133.00 m,436.35 ft,35 floors,2018,completed
485,Sterling Drug Company Building,New York City,156.97 m,515.01 ft,41 floors,1964,completed
486,The Independent,Austin,208.79 m,685.00 ft,58 floors,2019,completed
487,1800 Larimer Street,Denver,104.72 m,343.58 ft,22 floors,2010,completed
488,BOK Tower,Tulsa,203.30 m,667.01 ft,52 floors,1976,completed
489,Hoftoren,The Hague,141.85 m,465.39 ft,30 floors,2003,completed
490,El Mirador del Mediterraneo,Benidorm,123.00 m,403.54 ft,32 floors,2006,completed
491,Bank of America Plaza,Atlanta,311.81 m,1023.01 ft,55 floors,1992,completed
492,Hyatt Regency Denver,Denver,149.05 m,489.01 ft,38 floors,2005,completed
493,State Tower,Bangkok,247.20 m,811.02 ft,68 floors,2001,completed
494,Gevora Hotel,Dubai,356.30 m,1168.96 ft,75 floors,2018,completed
495,Messe Torhaus,Frankfurt am Main,117.00 m,383.86 ft,30 floors,1985,completed
496,ARAG Tower,Düsseldorf,124.88 m,409.71 ft,31 floors,2000,completed
497,IBC Tower,Frankfurt am Main,112.00 m,367.45 ft,30 floors,2003,completed
498,OpernTurm,Frankfurt am Main,169.98 m,557.68 ft,43 floors,2009,completed
499,Tour Granite,Nanterre,183.00 m,600.39 ft,36 floors,2008,completed
500,Ak-Asya Koru Tower,Istanbul,173.00 m,567.59 ft,43 floors,2015,completed
501,IZD Tower,Vienna,130.00 m,426.51 ft,37 floors,2001,completed
502,300 North LaSalle,Chicago,239.12 m,784.51 ft,60 floors,2009,completed
503,IS Bankasi Tower I,Istanbul,181.20 m,594.49 ft,52 floors,2000,completed
504,Radisson SAS Hotel,Tallinn,103.00 m,337.93 ft,25 floors,2001,completed
505,The Heritage at Millennium Park,Chicago,192.38 m,631.18 ft,57 floors,2005,completed
506,Bankgebäude BfG,Frankfurt am Main,148.00 m,485.56 ft,39 floors,1977,removed
507,Swissotel Tallinn,Tallinn,117.00 m,383.85 ft,28 floors,2007,completed
508,Fortis Bank,Rotterdam,104.00 m,341.20 ft,30 floors,1996,completed
509,The Arch,Hong Kong,231.00 m,757.87 ft,65 floors,2005,completed
510,Tour Manhattan,Courbevoie,110.90 m,363.85 ft,32 floors,1975,completed
511,Langham Place Office Tower,Hong Kong,255.05 m,836.78 ft,59 floors,2004,completed
512,Skywalk Residences,Bangkok,50 floors,,completed
513,Torre Picasso,Madrid,156.38 m,513.06 ft,43 floors,1988,completed
514,Torre Europa,Madrid,119.76 m,392.91 ft,30 floors,1985,completed
515,Two World Trade Center,New York City,415.14 m,1362.01 ft,110 floors,1973,destroyed
516,RWE-Turm,Essen,127.00 m,416.67 ft,31 floors,1996,completed
517,The Ritz-Carlton Philadelphia,Philadelphia,120.06 m,393.90 ft,30 floors,1930,completed
518,VICTORIA-Haus,Düsseldorf,108.00 m,354.33 ft,29 floors,1998,completed
519,33 Canada Square,London,104.80 m,343.84 ft,18 floors,1999,completed
520,101 Warren Street,New York City,130.46 m,428.01 ft,32 floors,2008,completed
521,WTC H Toren,Amsterdam,105.00 m,344.49 ft,28 floors,2004,completed
522,Taipei Nan Shan Plaza,Taipei,272.00 m,892.39 ft,46 floors,2018,completed
523,New York Times Tower,New York City,318.83 m,1046.01 ft,52 floors,2007,completed
524,The Finance Centre,Taguig,180.23 m,591.31 ft,43 floors,2017,completed
525,Amsterdam Symphony 2,Amsterdam,105.00 m,344.49 ft,28 floors,2009,completed
526,Atterbury House,Cape Town,119.00 m,390.42 ft,29 floors,1976,completed
527,Shang Salcedo Place,Makati,249.80 m,819.55 ft,67 floors,2017,completed
528,Hochhaus Uptown München,Munich,146.00 m,479.00 ft,38 floors,2004,completed
529,Hyatt Center,Chicago,207.10 m,679.47 ft,48 floors,2005,completed
530,Torre Littoria,Turin,108.60 m,356.31 ft,21 floors,1933,completed
531,Tour Total,Courbevoie,187.00 m,613.52 ft,48 floors,1985,completed
532,ABSA Centre Cape Town,Cape Town,116.74 m,383.01 ft,34 floors,1970,completed
533,KölnTriangle,Cologne,103.20 m,338.58 ft,29 floors,2005,completed
534,Torre Galfa,Milan,109.00 m,357.61 ft,28 floors,1959,completed
535,National Newark Building,Newark,141.73 m,465.01 ft,34 floors,1931,completed
536,SM Keppel Tower,Mandaluyong,210.00 m,688.98 ft,47 floors,2019,topped out
537,Abeno Harukas,Osaka,300.00 m,984.25 ft,62 floors,2014,completed
538,City Federal Building,Birmingham,100.58 m,329.99 ft,27 floors,1913,completed
539,135 East 57th Street,New York City,131.07 m,430.02 ft,31 floors,1988,completed
540,Comerica Bank Tower,Dallas,239.88 m,787.01 ft,60 floors,1987,completed
541,Torre Velasca,Milan,106.00 m,347.77 ft,26 floors,1958,completed
542,La Marseillaise,Marseille,135.00 m,442.91 ft,31 floors,2018,completed
543,Le Rivage Apartments,New York City,111.00 m,364.17 ft,31 floors,1931,completed
544,Bank of America Plaza,Little Rock,114.30 m,375.00 ft,23 floors,1970,completed
545,Taiping Financial Tower,Shanghai,208.00 m,682.41 ft,38 floors,2011,completed
546,Swissotel Krasnye Holmy,Moscow,166.50 m,546.26 ft,35 floors,2005,completed
547,One Union National Plaza,Little Rock,100.89 m,331.00 ft,22 floors,1968,completed
548,Tour Incity,Lyon,180.00 m,590.55 ft,37 floors,2015,completed
549,Tour Alicante,Puteaux,167.00 m,547.90 ft,37 floors,1995,completed
550,Akbank Tower,Istanbul,158.00 m,518.37 ft,39 floors,1993,completed
551,Chongqing Corporate Avenue 1,Chongqing,468.00 m,1535.43 ft,99 floors,2022,frame assembly
552,South Tower,Manchester,201.00 m,659.45 ft,64 floors,2020,completed
553,Huntington Tower,Akron,100.59 m,330.00 ft,27 floors,1931,completed
554,Fifth Street Towers II,Minneapolis,153.47 m,503.51 ft,36 floors,1988,completed
555,Tower Palace Three Tower G,Seoul,263.68 m,865.08 ft,73 floors,2004,completed
556,One Wall Centre,Vancouver,149.80 m,491.46 ft,48 floors,2001,completed
557,SPS Tower,Minneapolis,138.53 m,454.50 ft,33 floors,1987,completed
558,The Hyde,Sydney,120.00 m,393.70 ft,34 floors,2010,completed
559,Trump World Tower,New York City,262.44 m,861.01 ft,72 floors,2001,completed
560,The Mark,Vancouver,123.44 m,405.00 ft,41 floors,2013,completed
561,One Rincon Hill North Tower,San Francisco,150.88 m,495.01 ft,45 floors,2014,completed
562,Nex Tower,Makati,124.45 m,408.30 ft,27 floors,,completed
563,Lefcourt Clothing Center Building,New York City,102.72 m,337.00 ft,26 floors,1928,completed
564,Highlight I,Munich,126.00 m,413.39 ft,33 floors,2004,completed
565,Montevideo,Rotterdam,139.50 m,457.68 ft,43 floors,2005,completed
566,Wells Fargo Center,Jacksonville,163.07 m,535.01 ft,37 floors,1974,completed
567,One Undershaft,London,294.60 m,966.54 ft,73 floors,,proposed
568,VIC Building A-B,Vienna,127.00 m,416.67 ft,27 floors,1978,completed
569,222 Second Street,San Francisco,112.80 m,370.08 ft,26 floors,2016,completed
570,600 Travis,Houston,305.41 m,1002.01 ft,75 floors,1982,completed
571,The Private Residences at Hotel Georgia,Vancouver,157.46 m,516.61 ft,49 floors,2012,completed
572,Genex Tower,Belgrade,115.00 m,377.30 ft,30 floors,1980,completed
573,JP Morgan Chase Tower,Dallas,224.95 m,738.02 ft,55 floors,1987,completed
574,Majakka,Helsinki,131.70 m,432.09 ft,35 floors,2019,completed
575,SunTrust Financial Centre,Tampa,160.02 m,525.01 ft,36 floors,1992,completed
576,35 Hudson Yards,New York City,307.80 m,1009.84 ft,71 floors,2019,completed
577,IDS Tower,Minneapolis,241.38 m,791.93 ft,55 floors,1973,completed
578,Torre Levante,Benidorm,120.00 m,393.70 ft,35 floors,1985,completed
579,Nina Tower,Hong Kong,320.40 m,1051.18 ft,80 floors,2006,completed
580,Two Prudential Plaza,Chicago,298.09 m,978.00 ft,64 floors,1990,completed
581,Chicago Board of Trade,Chicago,185.62 m,609.00 ft,44 floors,1930,completed
582,Spire,Denver,147.22 m,483.01 ft,41 floors,2009,completed
583,Shimao International Plaza,Shanghai,333.30 m,1093.50 ft,60 floors,2006,completed
584,Shanghai Wheelock Square,Shanghai,270.48 m,887.40 ft,55 floors,2010,completed
585,Akhmat Tower,Grozny,435.00 m,1427.17 ft,102 floors,,interrupted
586,RSA Battle House Tower,Mobile,227.08 m,745.01 ft,35 floors,2007,completed
587,Torre Renoir 1,Buenos Aires,135.43 m,444.32 ft,41 floors,2008,completed
588,Buhl Building,Detroit,111.56 m,366.00 ft,29 floors,1925,completed
589,Istanbloom,Istanbul,150.00 m,492.13 ft,46 floors,2015,completed
590,R&F Yingkai Square,Guangzhou,296.20 m,971.78 ft,66 floors,2014,completed
591,Medical Tower,Philadelphia,110.95 m,364.01 ft,33 floors,1931,completed
592,Jongro Tower,Seoul,131.98 m,433.01 ft,24 floors,1999,completed
593,333 North Michigan,Chicago,120.70 m,396.00 ft,34 floors,1928,completed
594,American Furniture Mart,Chicago,144.48 m,474.01 ft,29 floors,1926,completed
